,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2021-06-22,6,2021-06-22,20.660000000000004,17.54,60.666666666666664,1008.1400000000001,264.1333333333333,4.1,434.3333333333333,168.53333333333333,501.46666666666664
2021-06-23,6,2021-06-23,21.21333333333333,14.92,64.46666666666667,1006.5933333333336,107.33333333333333,4.193333333333333,562.6666666666666,107.06666666666666,552.5333333333333
2021-06-24,6,2021-06-24,23.01333333333333,18.253333333333334,60.86666666666667,1004.6466666666669,283.6666666666667,2.9533333333333327,670.6,88.73333333333333,563.6
2021-06-25,6,2021-06-25,23.700000000000003,23.60666666666667,65.13333333333334,1005.2866666666667,262.26666666666665,4.973333333333333,488.6,124.6,525.0
2021-06-26,6,2021-06-26,23.22666666666667,15.133333333333331,67.53333333333333,1006.5866666666666,276.26666666666665,4.526666666666666,465.53333333333336,126.66666666666667,510.8
2021-06-27,6,2021-06-27,22.393333333333334,13.999999999999996,63.733333333333334,1007.6600000000001,275.4,3.92,517.2,123.66666666666667,543.1333333333333
2021-06-28,6,2021-06-28,21.620000000000005,15.893333333333333,63.0,1009.2533333333333,259.26666666666665,4.393333333333334,554.8666666666667,125.86666666666666,543.8
2021-06-29,6,2021-06-29,21.57333333333333,17.526666666666667,63.53333333333333,1007.7066666666667,326.1333333333333,3.7266666666666666,512.2666666666667,135.4,533.2666666666667
2021-06-30,6,2021-06-30,21.98,16.02,61.333333333333336,1006.08,270.2,3.38,602.6,110.26666666666667,555.2666666666667
2021-07-01,7,2021-07-01,22.560000000000002,18.966666666666665,59.46666666666667,1007.6866666666665,332.26666666666665,2.9133333333333336,502.6,147.86666666666667,530.7333333333333
2021-07-02,7,2021-07-02,23.613333333333333,14.92666666666667,51.0,1007.8933333333333,147.8,3.566666666666667,464.1333333333333,166.93333333333334,523.2666666666667
2021-07-03,7,2021-07-03,23.453333333333333,17.439999999999998,61.0,1008.74,14.333333333333334,4.466666666666666,269.8666666666667,241.86666666666667,457.06666666666666
2021-07-04,7,2021-07-04,22.813333333333333,19.566666666666666,70.6,1008.3533333333332,17.266666666666666,4.886666666666667,33.4,307.3333333333333,334.1333333333333
2021-07-05,7,2021-07-05,23.446666666666662,22.66,64.06666666666666,1006.8866666666667,172.8,3.88,396.0,189.86666666666667,497.73333333333335
2021-07-06,7,2021-07-06,22.58,22.380000000000003,71.4,1007.6133333333332,55.93333333333333,4.486666666666666,164.0,257.6,400.06666666666666
2021-07-07,7,2021-07-07,21.860000000000003,23.38,67.33333333333333,1009.3933333333332,9.4,5.206666666666666,474.2,130.66666666666666,516.1333333333333
2021-07-08,7,2021-07-08,22.7,20.39333333333333,63.06666666666667,1007.0333333333333,35.86666666666667,5.093333333333333,552.0,121.46666666666667,539.0666666666667
2021-07-09,7,2021-07-09,26.02,21.566666666666663,57.2,1000.2199999999999,97.86666666666666,2.873333333333333,446.3333333333333,160.13333333333333,506.26666666666665
2021-07-10,7,2021-07-10,28.54,15.94,51.0,999.9533333333334,294.06666666666666,2.8666666666666667,182.8,255.26666666666668,416.0
2021-07-11,7,2021-07-11,29.69333333333333,29.380000000000006,43.53333333333333,1004.8,266.1333333333333,3.4799999999999995,0.0,216.86666666666667,216.86666666666667
2021-07-12,7,2021-07-12,23.95333333333333,31.460000000000004,64.86666666666666,1009.4999999999998,189.13333333333333,4.546666666666667,13.066666666666666,279.6666666666667,286.1333333333333
2021-07-13,7,2021-07-13,22.0,18.233333333333334,62.2,1009.2266666666667,13.4,4.786666666666667,564.1333333333333,108.26666666666667,536.1333333333333
2021-07-14,7,2021-07-14,23.446666666666665,14.006666666666668,52.53333333333333,1004.2400000000001,154.13333333333333,3.233333333333334,667.6,91.86666666666666,559.1333333333333
2021-07-15,7,2021-07-15,24.766666666666666,19.293333333333333,62.666666666666664,1002.0066666666668,290.26666666666665,3.1133333333333324,568.7333333333333,97.4,536.4
2021-07-16,7,2021-07-16,26.173333333333332,21.28666666666667,57.0,1003.4533333333331,285.93333333333334,2.8133333333333326,378.53333333333336,166.33333333333334,480.8666666666667
2021-07-17,7,2021-07-17,25.97333333333334,20.673333333333336,58.93333333333333,1006.2266666666667,246.46666666666667,2.8933333333333335,376.73333333333335,188.2,487.53333333333336
2021-07-18,7,2021-07-18,25.60666666666667,12.406666666666665,56.86666666666667,1007.8,155.06666666666666,3.573333333333333,604.3333333333334,106.2,549.6666666666666
2021-07-19,7,2021-07-19,23.48,13.680000000000003,62.53333333333333,1006.1333333333334,260.06666666666666,3.673333333333333,570.2666666666667,107.93333333333334,542.2
2021-07-20,7,2021-07-20,22.086666666666662,17.699999999999996,67.46666666666667,1006.1266666666666,194.0,4.093333333333333,260.4,234.4,449.0
2021-07-21,7,2021-07-21,23.533333333333335,20.74666666666667,60.13333333333333,1005.8466666666666,11.133333333333333,3.9799999999999995,250.46666666666667,237.6,448.46666666666664
2021-07-22,7,2021-07-22,25.086666666666666,24.92,56.266666666666666,1004.7933333333334,36.0,4.1,307.06666666666666,215.86666666666667,462.2
2021-07-23,7,2021-07-23,24.46,25.093333333333337,61.333333333333336,1003.3000000000001,34.86666666666667,4.886666666666667,315.6666666666667,196.66666666666666,457.1333333333333
2021-07-24,7,2021-07-24,23.69333333333334,28.14,65.06666666666666,1004.1666666666665,12.533333333333333,4.753333333333334,48.13333333333333,299.6,343.6666666666667
2021-07-25,7,2021-07-25,23.233333333333334,20.94,63.733333333333334,1005.6199999999998,190.33333333333334,4.02,454.53333333333336,155.53333333333333,499.6666666666667
2021-07-26,7,2021-07-26,23.279999999999998,25.10666666666667,72.53333333333333,1005.4,11.733333333333333,4.579999999999999,201.6,243.73333333333332,413.93333333333334
